firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
Pozen Inc,20001010,POZN,73941U102,88740,26400000,0,1996,0
PRA Health Sciences Inc,20141113,PRAH,69354M108,15079,59808888,0,1984,0
PRA International,20041117,PRAI,69353C101,90460,22749072,0,1976,0
PRAB ROBOTS,19810917,PRAB,73941310,63758,1477000,0,1961,0
Praecis Pharmaceuticals Inc,20000426,PRCS,739421105,88190,39966545,0,1993,0
Praegitzer Industries,19960404,PGTZ,739422103,83401,8718396,0,1981,0
PRAIRIE PRODUCING,19810408,PPCO,73965910,65031,7953000,0,1964,0
Praxis Biologics,19870327,PRXS,740056106,11218,13213879,0,1983,0
Praxis Pharmaceuticals,19850117,PRAX,74005800,91126,2001200,0,1984,0
PRB Gas Transportation Inc,20050412,PRB,693535106,90653,6750000,0,2001,0
Precis Smart Card Systems Inc,20000210,PCIS,740184106,87625,2200000,0,1994,0
Precise Software Solutions Ltd,20000629,PRSE,M41450103,88369,21194000,0,1990,0
Precision Aerotech,19861107,PAR,740187109,70981,3006404,0,1986,0
Precision Auto Care Inc,19971106,PACI,74018R105,85568,5107895,0,1987,1
Precision Response,19960716,PRRC,740314109,83784,20000000,0,1982,0
Predictive Systems Inc,19991027,PRDS,74036W102,87363,26542000,0,1995,0
Preferred Apartment Communitie,20110331,APTS,74039L103,12668,5036666,0,2009,0
Preferred Employers Holdings,19970205,PEGI,739908101,84556,4500000,0,1997,0
Preferred Entertainment,19930805,PREF,74036T109,79520,4200000,0,1993,0
PREFERRED FINANCIAL,19831122,PFCO,74037010,63862,2930000,0,1959,0
PREFERRED HEALTH CARE CORP,19830914,PHCC,74037210,63889,2050000,0,1983,0
Preferred Homecare of America,19890623,PFRD,740374103,75782,8546472,0,1987,0
Preferred Networks,19960226,PFNT,739905107,83156,14248705,0,1991,0
PREFERRED S & L,19841102,PSLA,74040410,91134,1709000,0,1979,0
Premcor Inc,20020430,PCO,74045Q10,89374,57469000,1,1988,0
Premenos Technology,19950920,PRMO,74045V103,82275,9819313,0,1995,0
Premier Anesthesia,19920304,PRAN,740462106,77385,8049614,0,1988,1
"Premier Bankshs,Bluefield,VA",19870812,PBKC,740466107,11598,1775636,0,1986,0
Premier Financial Bancorp,19960516,PFBI,74050M105,83547,3909304,0,1991,0
Premier Inc,20130927,PINC,74051N102,14169,140759790,1,1969,0
Premier Laser Systems,19941130,PLSIA,740522107,81100,4137425,0,1991,0
Premier Parks,19960529,PARK,740540208,76209,10842039,0,1971,0
Premier Research Worldwide Inc,19970203,PRWW,740568100,84559,5982150,0,1977,0
Premiere Page,19931222,TEMPA,7.41E+109,80018,6987500,1,1990,0
Premiere Radio Networks,19920428,PRNI,740582101,77539,3000000,0,1987,0
Premiere Technologies,19960305,PTEK,74058F102,83307,16935904,0,1991,0
Premisys Communications,19950405,PRMS,740584107,81578,11256590,0,1990,0
Premium Cigars International,19970821,PCIG,740588108,85310,3380500,0,1996,0
Premium Standard Farms Inc,20050613,PORK,74060C105,90741,31328750,0,1988,0
Presbia PLC,20150129,LENS,G7234P10,15181,13333334,0,2014,0
Present,19850807,PRST,74081400,63934,2680626,0,1912,0
President Riverboat Casinos,19921211,PREZ,740848106,78194,9164900,0,1985,0
Presidential Airways,19850906,PAIR,74086100,91169,5300000,0,1985,0
Presley,19911010,PDC,741030100,77074,18500000,0,1956,0
Press Ganey Holdings Inc,20150521,PGND,74113L102,15357,53548200,0,1985,0
Presstek,19890328,PRST,741113104,75730,3356000,0,1987,0
Prestige Brands Holdings Inc,20050209,PBH,74112D101,90564,50000000,0,1996,0
Presto-Tek,19870128,PRTK,741120109,11052,2500000,0,1980,0
Preview Systems Inc,19991208,PRVW,741379101,87527,15768000,0,1995,0
Preview Travel Inc,19971119,PTVL,74137R101,85574,11654368,0,1985,0
PRI Automation,19941013,PRIA,69357H106,81007,5434521,0,1972,0
PRIAM CORPORATION,19830602,PRIA,74140010,64048,15179000,0,1978,0
Price Pfister,19870729,PFPF,741474100,11555,11115445,0,1910,0
Priceline.com Inc,19990329,PCLN,741503106,86783,142320432,0,1997,0
PriCellular,19941215,PC,741504104,81131,15651000,1,1990,0
Pricor,19870723,PRCO,741532105,11545,4112006,0,1985,0
Primadonna Resorts,19930622,PRMA,741548101,79297,29800000,0,1985,0
"PRIMAGES, INC.",19830512,PRIM,74154910,64072,2821000,0,1981,0
Prime Acquisition Corp,20110324,PACQU,G72436119,12794,4824000,1,2010,0
"Prime Bancshares Inc, Texas",19970925,PBTX,74157H108,85389,9239020,0,1958,0
Prime Capital,19860529,PRME,741910103,10303,3955000,0,1986,0
Prime Cellular,19900802,PCEL,741916100,76421,4000000,0,1990,0
Prime Management Group,19940831,PMGI,741920102,80835,2200000,0,1987,0
Prime Motor Inns LP,19861217,PMP,74156320,71028,3599999,0,1986,0
Prime Response Inc,20000302,PRME,74158B100,87802,19828002,0,1987,0
Prime Service,19961031,PRS,7.42E+109,84175,22393822,0,1957,0
Primerica Inc,20100331,PRI,74164M10,93330,75000000,0,1977,0
Primo Water Corp,20101104,PRMW,74165N10,12402,19023887,0,2004,0
Primus Guaranty Ltd,20040929,PRS,G72457107,90351,42787843,0,2002,0
Primus Knowledge Solutions Inc,19990701,PKSI,74163Q100,87126,13502000,0,1986,0
Primus Telecommunications,19961107,PRTL,741929103,84247,13623978,0,1904,0
Princeton Dental Management,19920415,PDMC,741872105,77518,1400000,0,1986,0
Princeton Review Inc,20010618,REVU,74235210,89030,26292832,0,1981,0
Princeton Video Image Inc,19971216,PVII,742476104,85713,7308472,0,1990,0
Principal Financial Group Inc,20011023,PFG,74251V10,89195,360600000,0,1901,0
Principal Real Estate Income F,20130625,PGZ,74255X104,14003,0,0,2012,0
Printcafe Software Inc,20020618,PCAF,74256210,89420,10595000,0,1987,0
Printrak International,19960702,AFIS,742574106,83732,9324879,0,1974,0
PRINTRONIX,19790626,PTNX,74257810,64195,3112662,0,1974,.
Printware,19960701,PRTW,742580103,83785,4829460,0,1985,0
Priority Healthcare Corp,19971024,PHCC,74264T102,85495,12214286,1,1984,0
Prism Entertainment,19850814,PSMN,74264300,91193,2000000,0,1984,0
Prism Financial Corporation,19990525,PRFN,74264Q108,86912,13995297,0,1992,0
Prism Solutions,19960314,PRZM,742947104,83306,12840237,0,1991,0
Private Business Inc,19990526,PBIZ,74267D104,86910,27215000,0,1990,0
"Privatebancorp Inc, Chicago,IL",19990630,PVTB,742962103,87020,4351824,0,1989,0
Pro-Dex,19860807,PDEX,74265H10,10550,1140750,0,1978,0
PRO-MED CAPITAL,19831123,PRMD,74291710,64275,2725000,0,1983,0
ProBusiness Services Inc,19970919,PRBZ,742674104,85393,10147000,0,1984,0
Procentury Corp,20040420,PROS,74268T108,90134,13101195,0,1978,0
Procept,19940210,PRCT,742683303,80265,5989982,0,1985,0
Procom Technology,19961217,PRCM,74270W107,84327,11000000,0,1987,0
ProCyte,19891116,PRCY,742807100,75859,5917669,0,1985,0
Prodigy Communications Inc,19990210,PRGY,74283P107,86733,53035112,0,1996,0
Professional Agricultural Mgmt,19861003,PAGR,743110108,10729,4100000,0,1982,0
Professional Detailing Inc,19980519,PDII,74312N107,86083,10264562,0,1988,0
Professional Diversity Network,20130305,IPDN,74312Y103,13828,6318227,0,2003,0
Professional Sports Care,19940922,PSCM,742939101,80949,5520590,0,1991,0
Professional Transportation,19970619,TRUC,742963101,85048,3850000,0,1990,0
Proffitt's,19870603,PRFT,742925100,11382,3747400,0,1919,0
Profile Technology Inc,19970212,PRTK,743164105,84572,4212600,0,1995,0
Profit Recovery Group,19960326,PRGX,743168106,83304,17624521,0,1990,0
Progenics Pharmaceuticals Inc,19971119,PGNX,743187106,85571,8701553,0,1986,0
Progenitor(Internueron Pharms),19970806,PGEN,743188104,85313,5637217,0,1992,0
Programmer's Paradise,19950718,PROG,743205106,81893,4384426,0,1982,0
Progress Software,19910730,PRGS,743312100,76752,5255680,0,1981,0
Project Software & Development,19940421,PSDI,74339P101,80469,5269507,0,1968,0
ProMedCo Management Company,19970312,PMCO,74342L105,84628,10501952,0,1994,1
ProNAi Therapeutics Inc,20150716,DNAI,74346L101,15507,30044138,0,2003,0
ProNet,19870729,PNET,74342C105,11554,3597115,0,1982,0
Proofpoint Inc,20120419,PFPT,743424103,13377,29657817,0,2002,0
Properties of America,19871119,POAI,743434102,11806,2874700,0,1974,0
Prophet 21,19940310,PXXI,743459109,80358,4000000,0,1967,0
ProQR Therapeutics BV,20140918,PRQR,N7154210,14935,22213154,0,2012,0
Pros Holdings Inc,20070627,PRO,74346Y103,92143,25787884,0,1985,0
Prosensa Holding BV,20130627,RNA,N71546100,13968,35902298,0,1997,0
ProSource,19961111,PSDS,743479107,84248,9052400,1,1992,0
Prospect Acquisition Corp,20071114,PAX,74347T202,92502,31250000,0,2007,0
Prospect Group,19860521,PROS,742918105,10286,20233935,0,1980,0
Prospect Park S&L,19870424,PPSA,743585101,11273,2300000,0,1961,0
"Prosperity Bancshares Inc, TX",19981111,PRSP,743606105,86432,4915308,0,1983,0
Protagonist Therapeutics Inc,20160811,PTGX,7.44E+106,16263,14658551,0,2006,0
Protection One,19940929,ALRM,743663304,80915,8460839,0,1991,1
Protein Design Labs,19920128,PDLI,74369L103,77292,12785542,0,1986,0
Protein Polymer Technologies,19920121,PPTI,743697203,77270,4896692,0,1988,0
Proteon,19910604,PTON,743700106,76683,13509085,0,1974,0
Proteon Therapeutics Inc,20141022,PRTO,74371L109,15015,15455374,0,2006,0
Proteostasis Therapeutics Inc,20160211,PTI,74373B109,15950,145336974,0,2006,0
Proto Labs Inc,20120223,PRLB,743713109,13249,23187708,0,1999,0
PROTOCOL COMPUTERS,19830928,PCII,74371710,64507,5353000,0,1976,0
Protocol Systems,19920324,PCOL,74371R106,77434,6854999,0,1985,0
ProtocomDevices,19860520,PRCM,743718207,10280,4339145,0,1983,0
Proton Energy Systems Inc,20000928,PRTN,74371K101,88642,32015000,0,1996,0
ProtoSource,19950210,PSCO,743958209,81271,1240001,0,1988,0
Provant Inc,19980428,POVT,743724106,85998,9405558,0,1996,1
Provantage Inc(ShopKo Stores),19990714,PHS,743725103,87041,18100000,0,1993,0
Provena Foods,19870820,PVNA,743726101,11622,2563870,0,1972,0
Provide Commerce Inc.,20031217,PRVD,74373W103,89940,11360834,0,1998,0
Providence Health Care,19920213,PHCI,743757106,77337,3865854,0,1970,0
Providence Journal,19960624,PRJ,74377P203,83608,45996450,1,1884,0
Providence Service Corp,20030818,PRSC,743815102,89824,7700000,0,1996,0
"Provident Bankshares,Maryland",19871215,PBKS,743859100,11823,5400000,0,1900,0
PROVIDENT INSTITUT.,19830729,PROV,74346910,64523,3750000,0,1939,0
Providential,19920210,PHIP,743942104,77329,5471390,0,1987,0
Province Healthcare Co,19980210,PRHC,743977100,85933,12481013,0,1975,1
PROVINCETOWN-BOSTON,19830915,PBAL,74407210,64566,4720000,0,1949,0
Proxicom Inc,19990419,PXCM,744282104,86841,18556868,0,1991,0
Proxim,19931215,PROX,744284100,80020,6853726,0,1984,0
Proxima,19930204,PRXM,744287103,78905,5900366,0,1982,0
ProxyMed Pharmacy,19930805,PILL,744290107,79518,2000000,0,1987,0
PRT Group Inc,19971120,PRTG,693579104,85573,14525681,0,1989,0
Prudential Financial Inc,20011212,PRU,74432010,89258,566300000,0,1901,0
Prudential Reinsurance,19951002,RE,74435W109,82303,50000000,0,1993,0
Prudential Short Duration High,20120425,ISD,74442F107,13357,0,0,2011,0
PSE,19860522,PSEI,693615106,69622,8471965,0,1969,0
PSi Technologies Inc,20000316,PSIT,74438Q109,87804,12764525,0,1988,0
PSICOR,19860610,PCOR,744901109,10351,3700000,0,1968,0
PST Vans,19950307,PSTV,693934101,81504,4200000,0,1984,0
PSW Technologies Inc,19970605,PSWT,69364J103,85031,8396463,0,1989,0
PSYCH SYSTEMS,19820923,PSYC,74437410,64611,1476000,0,1977,0
Psychemedics,19870122,PCMC,744375106,11043,5700000,0,1986,0
Psychiatric BioScience,19870424,PSBI,743919201,75242,3200000,0,1986,0
PT Components,19850313,PTCS,69364600,90801,8635000,0,1981,0
PTC Therapeutics Inc,20130619,PTCT,69366J200,13967,24933990,0,1998,0
PUBLISHERS EQUIPMENT,19830329,PECN,74465010,64654,2420000,0,1979,0
Publishing Co of N. America,19960517,PCNA,744654104,83546,3960396,0,1993,0
Pudgie's Chicken,19950809,PUDG,744678103,82210,3891472,0,1993,0
Pulawski Savings Bank,19860918,PUSL,745768101,10675,900000,0,1916,0
Pulitzer Publishing,19861211,PLTZ,745771105,10929,10206888,0,1900,0
Pulse Biosciences Inc,20160518,PLSE,74587B101,16066,12565451,0,2014,0
Pulse Engineering,19910611,PLSE,745865105,76696,5182797,1,1957,0
Puma Technology,19961204,PUMA,745887109,84329,11919000,0,1993,0
Purchasepro.com Inc,19990913,PPRO,746144104,87249,18009999,0,1996,0
Pure Software,19950801,PRSW,745907105,82209,15471975,0,1991,0
Pure Storage Inc,20151007,PSTG,74624M102,15729,185056764,1,2009,0
Pure Tech International,19890322,PURT,746225101,75728,15600000,0,1972,0
Puro Water Group Inc,19970207,HHO,746371103,84583,3419929,0,1994,1
Purolator Products,19921214,PFIL,746381102,78192,10112500,0,1975,0
Purus,19931109,PURS,746400100,79858,5993682,0,1989,0
Putnam Investment Grade Munici,19931118,PML,746807106,79917,4007092,1,1937,0
PYRAMID MAGNETICS,19840214,PYRM,74719410,64814,2730000,0,1978,0
Pyramid Technology,19851204,PYRD,74723600,91273,7703989,0,1981,0
PYRO-MAGNETICS,19800130,PYRO,74724510,64849,2084000,0,1969,0
Pyxis Corporation,19920722,PYXS,747251106,77795,16428977,0,1987,0
Pzena Investment Management,20071024,PZN,74731Q103,92354,64049028,1,1995,0
Q-Steaks,19931209,QSTK,74725X106,80027,3942500,0,1989,0
Q2 Holdings Inc,20140320,QTWO,74736L109,14516,31949901,0,2005,0
QAD Inc,19970806,QADI,74727D108,85314,34012232,0,1979,0
QC Holdings Inc,20040715,QCCO,74729T101,90292,20371000,0,1984,0
QC Optics,19961024,QCO,746934108,84034,3099511,0,1986,0
QEP,19960917,QEPC,74727K102,83957,2500000,0,1979,0
Qiagen,19960627,QGENF,N72482107,83686,11355932,0,1996,0
Qiao Xing Mobile Commun,20070502,QXM,G73031109,92031,52500000,0,2000,0
Qiao Xing Universal Telephone,19990216,QXUTF,G7303A10,86742,9100000,0,1994,0
Qihoo 360 Technology Co Ltd,20110329,QIHU,74734M109,12636,174562695,1,2005,0
Qimonda AG,20060808,QI,746904101,91420,342000000,0,1952,0
QIWI PLC,20130502,QIWI,74735M108,13941,52500000,1,2007,0
Qlik Technologies Inc,20100715,QLIK,74733T10,12026,74957594,0,1993,0
QMAX TECHNOLOGY,19841108,QMAX,74726510,91281,1784000,0,1975,0
QS Communications AG,20000418,QSCG,74727G101,88191,50976173,0,1997,0
Quad City Holdings,19931006,QCHI,74730P106,79731,1275000,0,1993,0
Quad Systems,19930512,QSYS,74730Q104,79205,3876812,0,1981,0
QuadraMed,19961010,QMDC,74730W101,84120,5674081,0,1993,0
Quadrax,19870707,QDRX,746905108,11492,4575271,0,1986,0
Quaker Fabric,19931116,QFAB,747399103,79860,7789264,0,1945,0
Qual-Med,19910611,QLMD,747524106,76697,15094333,0,1985,0
QUALCOMM,19911213,QCOM,747525103,77178,19591390,0,1985,0
Quality Dining,19940301,QDIN,74756P105,80359,6100000,0,1981,0
Quality Distribution Inc,20031106,QLTY,74756M102,89920,17987300,0,1994,0
Quality Food Centers,19870327,QFCI,747565105,11215,4625000,0,1954,0
QUALITY MICRO SYSTEMS,19830113,QMSI,74790710,65032,4159000,0,1977,0
Quality Semiconductor,19941117,QUAL,74758B104,81102,4997205,0,1988,0
QUALITY SYSTEMS,19821201,QSII,74758210,64961,2137000,0,1974,0
Qualix Group Inc,19970212,QLIX,747586105,84560,7053170,0,1990,0
Qualmark,19960408,QMRK,747587103,83407,3195266,0,1991,0
Qualstar Corp,20000623,QBAK,74758R109,88370,12164000,0,1984,0
Qualys Inc,20120927,QLYS,74758T105,13600,30050974,0,1999,0
Quanta Services Inc,19980212,PWR,7.48E+106,85792,15972333,1,1997,1
QUANTECH ELECTRONICS,19830407,QANT,74790810,65059,1978000,0,1977,0
Quantenna Communications Inc,20161028,QTNA,74766D100,16397,32781088,0,2005,0
QUANTUM CORP,19821210,QNTM,74790610,65024,8894000,0,1980,0
Quantum Effect Devices Inc,20000201,QEDI,74764T107,87655,26671000,0,1991,0
Quantum Health Resources,19910430,QHRI,74763L105,76630,7141512,0,1988,0
Quantum Restaurant Group,19920603,QRST,74763T108,77653,5126963,0,1988,0
Quarterdeck Office Systems,19910611,QDEK,747712107,76698,19673041,0,1982,0
Quartet Merger,20131029,QTETU,747717304,14353,12302500,1,2013,0
Quepasa.com Inc,19990623,PASA,74833W10,86989,13075833,0,1997,0
Quest Biotechnology,19860710,QBIO,748340106,10471,974397,0,1986,0
Quest Software Inc,19990813,QSFT,74834T10,87182,42524600,0,1998,0
QUESTECH INC.,19840514,QTEC,74835710,65091,1516000,0,1968,0
QUICK & REILLY GROUP,19830622,BQR,74837610,65058,6318000,0,1974,0
QuickLogic Corp,19991014,QUIK,74837P108,87364,17634500,0,1988,0
QuickResponse Services,19930805,QRSI,74837W103,79523,7326884,0,1984,0
Quicksilver Gas Services LP,20070806,KGS,74839G106,92255,11513625,0,2004,0
Quickturn Design Systems,19931215,QKTN,7.48E+106,80026,12005637,0,1987,0
Quiksilver,19861216,QUIK,74838C106,75527,4000000,0,1976,0
Quincy Co-Operative Bank,19851106,QCBK,74839500,91329,1541000,0,1900,0
Quinpario Acquisition Corp,20130808,QPAC.,74874R207,14173,18400000,1,2013,0
Quinpario Acquisition Corp 2,20150116,QPACU,74874U200,15271,45062500,1,2014,0
QuinStreet Inc,20100210,QNST,74874Q10,93266,44912597,0,1999,0
Quintalinux Ltd,20000810,QLNX,G73286109,88558,9500000,0,1997,0
Quintana Maritime Ltd,20050714,QMAR,Y7169G109,90819,23019492,0,2005,0
Quintel Entertainment,19951205,QTEL,748762101,82738,15225000,0,1993,0
Quintiles Transnational,19940420,QTRN,748767100,80470,9224345,0,1982,0
Quintiles Transnational,20130508,Q,74876Y101,13911,128915390,0,1982,0
Quinton Cardiology Systems Inc,20020507,QUIN,74877310,89396,11316622,0,1953,0
Quintus Corp,19991116,QNTS,748798105,87411,32139527,0,1984,0
Quipp,19860818,QUIP,748802105,10586,1426965,0,1984,0
Quizno's Franchise,19940201,QUIZ,749058103,80268,2800000,0,1991,0
Qunar Cayman Islands Ltd,20131101,QUNR,74906P104,14320,123670000,1,2005,0
Quokka Sports Inc,19990727,QKKA,749077103,87124,33656429,0,1996,0
Quorum Health Group,19940525,QHGI,749084109,80570,45888862,0,1989,1
Quotesmith.com Inc,19990803,QUOT,749117107,87183,18515091,0,1984,0
Quotient Ltd,20140425,QTNTU,G73268,14666,14376547,0,2012,0
QVC Network,19860905,QVCN,747262103,10636,9742000,1,1986,0
Qwest Communications Corp,19970623,QWST,749121109,85032,100000000,0,1988,0
QXL.com Plc,19991007,QXLC,74912W10,87367,89463300,0,1997,0
R-B Rubber Products,19950510,RBBR,749270104,81640,2030000,0,1985,0
R-Tek,19910726,RCORF,749914107,76976,5118800,0,1985,0
R. F. Management,19950721,RFMC,74955G104,81895,3200000,0,1986,0
R&B,19910312,RBIN,749124103,76582,6450000,0,1978,0
R&G Financial,19960822,RGFC,749136107,83897,7155026,0,1990,0
R2,19850418,RTOO,74974700,91345,1111700,0,1978,0
R2 Medical Systems,19920901,RMED,749916102,77888,2600000,0,1987,0
Ra Pharmaceuticals Inc,20161026,RARX,74933V10,16398,21488780,0,2008,0
RAC Financial Group,19960201,RACF,749207109,83159,14634247,1,1994,0
Racal Telecom,19881025,RTG,74981620,75418,115662000,0,1966,0
Racing Champions Inc,19970611,RACN,750069106,85034,11948156,0,1989,0
Rackable Systems Inc,20050609,RACK,750077109,90742,20027711,0,1999,0
Rackspace Hosting Inc,20080807,RAX,750086100,92765,115444808,0,1998,0
Racotek,19931210,RACO,750091100,80028,22104338,0,1989,0
RADCOM Ltd,19970924,RDCM,M81865103,85397,9596300,0,1985,0
Radiant Systems Inc,19970212,RADS,75025N102,84561,13817792,0,1985,0
Radiation Therapy Services Inc,20040618,RTSX,750323206,90237,23118509,0,1983,0
Radica Games,19940513,RADA,G7342H107,80571,22780000,0,1993,0
Radio One Inc,19990505,ROIA,75040P108,86916,17452829,1,1980,1
Radio Unica Communications Cor,19991018,UNCA,75040Q106,87351,17921924,0,1996,0
RADIOGRAPHIC,19800313,RDCX,75040910,65489,1040000,0,1974,0
RADIONICS INC.,19831007,RADX,75041010,65497,4131000,0,1975,0
RadiSys,19951020,RSYS,750459109,82521,5602306,0,1987,0
Radius,19900820,RDUS,750470106,76281,12601806,0,1986,0
Radius Health Inc,20140606,RDUS,750469108,14707,28938899,0,2008,0
Radon Testing of America,19870112,RDON,750903106,11016,6500000,0,1985,0
Radva,19860625,RDVA,750610107,10420,3812560,0,1962,0
RadView Software Ltd,20000809,RADV,M81867109,88559,16400000,0,1991,0
RADVision Ltd,20000313,RVSN,M81869105,87808,18028596,0,1992,0
Radware Ltd,19990929,RDWR,M81873107,87251,9850400,0,1996,0
Rag Shops,19910605,RAGS,750624108,76687,4500000,0,1963,0
Ragen MacKenzie Group Inc,19980622,RMG,750642100,86133,12353370,0,1987,0
RailAmerica,19921109,RAIL,750753105,78065,2600000,0,1985,0
RailAmerica Inc,20091012,RA,75075340,93068,54346930,0,1992,0
RailTex Inc.,19931118,RTEX,750766107,79863,6827017,0,1977,0
RailWorks Corp,19980729,RWKS,750789109,86289,15073530,0,1966,1
Rainbow Rentals,19980605,RBOW,750857104,86185,5925735,0,1986,0
Rainbow Technologies,19870910,RNBO,750862104,11678,1670148,0,1987,0
Rainforest Cafe,19950407,RAIN,75086K203,81581,4060600,0,1994,0
Rainmaker Systems Inc,19991117,RMKR,750875106,87414,37460544,0,1991,0
Raleigh Federal Savings Bank,19870626,RFBK,751082108,11462,3450000,0,1905,0
Rally Software Dvlp Corp,20130411,RALY,751198102,13858,23644329,0,2002,0
Rally's,19891012,RLLY,751203100,75833,6526863,0,1984,0
RAM Holdings Ltd,20060427,RAMR,G7368R104,91183,27234755,0,1998,0
Rambus Inc,19970513,RMBS,750917106,84827,21454000,0,1990,0
Ramp Networks Inc,19990622,RAMP,751567108,86994,20057000,0,1994,0
Ramsay-HMO,19891220,RHMO,751581109,76062,3475000,0,1977,0
RAMTEK,19781214,RMTK,75187410,65622,1856895,0,1971,.
Rand Acquisition Corp,20041027,RAQCU,752182204,91905,5000000,1,2004,.
RANDAL DATA SYSTEMS,19780821,,75225010,65681,1113256,0,1974,.
Rankin Automotive Group,19961118,RAVE,753050103,84251,4549591,0,1978,0
Rapid7 Inc,20150717,RPD,753422104,15541,37784917,0,2000,.
Raptor Systems,19960206,RAPT,753817105,83160,11385199,0,1991,0
Raritan Bancorp,19870514,RARB,753821107,11322,1000000,0,1987,0
Raster Graphics,19960808,RGFX,753907104,83899,8340284,0,1987,0
RasterOps,19900509,ROPS,754080109,76169,2520000,0,1987,0
RATLIFF DRILLING,19801216,RTLF,75409510,63757,2960000,0,1968,0
Rattlesnake Holding,19950629,RTTL,753904101,81738,2363563,0,1993,0
RAUCH INDUSTRIES,19830412,RCHI,75418210,65761,1517000,0,1956,0
Ravenswood Winery Inc,19990408,RVWD,754438109,86843,4550852,0,1976,0
Ravisent Technologies Inc,19990715,RVST,754440105,87087,15488000,0,1994,0
Rawlings Sporting Goods,19940630,RAWL,754459105,80659,7650081,0,1900,0
RAX RESTAURANTS,19830714,RAXR,74924510,65227,5570000,0,1977,0
RAYMOND ENGINEERING,19821207,REIN,75470810,75879,1280000,0,1938,0
Rayonier Timberlands LP,19851112,LOG,75507810,68662,15600000,0,1937,0
Rayovac Co(Thomas H Lee Co),19971120,ROV,755081106,85625,27281432,0,1921,0
Raytel Medical,19951130,RTEL,755107109,82740,7753083,0,1981,1
Razorfish Inc,19990426,RAZF,755236106,86842,24088000,0,1995,0
RBC Bearings Inc,20050809,ROLL,75524B104,90870,15468028,0,1919,0
RCS Capital Corp,20130605,RCAP,74937W102,14004,26500000,1,2008,0
RDA Microelectronics Inc,20101109,RDA,749394102,12403,42460000,1,2004,0
RDO Equipment Co,19970123,RDO,749413100,84394,12550000,1,1968,0
RE/MAX Holdings,20131002,RMAX,75524W108,14221,29342571,1,1973,0
ReachLocal Inc,20100520,RLOC,75525F10,93400,27138285,0,2003,0
Read-Rite,19911018,RDRT,755246105,77039,26713204,0,1981,0
Reader's Digest Association,19900214,RDA,755267101,76085,117778220,1,1926,0
READING AVIATION,19810512,RASI,75530710,73243,2118000,0,1946,0
Ready Mix Inc,20050823,RMX,755747102,90846,3575000,0,1996,0
Real Goods Solar Inc,20080508,RSOL,75601N104,92687,13346707,1,1978,0
Realco,19960202,RLCO,756033106,83165,3844675,0,1983,0
RealD Inc,20100715,RLD,75604L10,12011,47638374,0,2003,0
RealNetworks Inc,19971121,RNWK,75605L104,85576,30688156,1,1994,0
Realogy Holdings Corp,20121010,RLGY,75605Y106,13622,130153234,0,1906,0
RealPage Inc,20100811,RP,75606N10,12089,62305404,0,2003,0
Realty Information Group Inc,19980701,RIGX,75612B107,86288,10754017,0,1987,0
Reata Pharmaceuticals Inc,20160526,RETA,75615P103,16068,21498106,1,2002,0
Receptech,19891117,RECP,756203105,76077,2250000,0,1989,0
Receptos Inc,20130508,RCPT,756207106,13942,18337920,0,2008,0
Reckson Associates Realty,19950525,RA,75621K10,81660,6520100,0,1995,0
Recon Technology Ltd,20090729,RCON,G7415M108,92986,3418478,0,2007,.
Recovery Engineering,19930304,REIN,756269106,79000,2857350,0,1986,0
Recro Pharma Inc,20140306,REPH,75629F109,14550,7707600,0,2007,0
Red Brick Systems,19960122,REDB,756422101,82840,12912482,0,1990,0
Red Hat Inc,19990811,RHAT,756577102,87184,66835000,0,1993,0
Red Lion Hotels,19950726,RL,756701108,81778,29650000,0,1959,0
Red Lion Inns LP,19870407,RED,756702106,75087,4944285,0,1987,0
Red Robin Gourmet Burgers Inc,20020718,RRGB,75689M10,89453,15095000,0,1969,0
Red Rock Resorts Inc,20160427,RRR,75700L108,16019,115854794,1,1976,0
Red Roof Inns,19960131,RRI,757005103,82858,22720818,0,1972,0
Redback Networks Inc,19990517,RBAK,757209101,86914,21034000,0,1996,0
Reddy Ice Holdings Inc,20050809,FRZ,75734R105,90847,21680742,0,1988,0
RedEnvelope Inc,20030924,REDE,75733R106,89834,8500000,0,1997,0
Redhook Ale Brewery,19950816,HOOK,757473103,82176,8582045,0,1981,0
Redline Performance Inc,20030515,RED,75763Q101,89750,4582000,0,1999,0
Redman Industries Inc,19930916,RDMN,75764210,79619,7008186,0,1937,0
Reebok International,19850726,RBOK,758110100,91380,15983259,0,1979,0
Reeds Jewelers,19861219,REED,758341101,10972,3462500,0,1984,0
Refco Inc,20050811,RFX,75866G109,90848,127500000,0,1969,0
Regado Biosciences Inc,20130822,RGDO,75874Q107,14101,21303021,0,2001,0
Regal Cinemas,19930701,REGL,758754105,79416,3980723,0,1990,0
Regal Entertainment Group,20020509,RGC,75876610,89409,130820000,1,1946,0
Regency Energy Partners LP,20060130,RGNC,75885Y107,91084,38207792,0,2005,0
Regency Health Services,19920626,RHS,758934103,77714,6600000,0,1986,0
Regency Realty,19931029,REG,75893910,79782,6333114,0,1963,0
Regeneration Technologies Inc,20000810,RTIX,75886N100,88564,21309000,0,1997,0
Regeneron Pharmaceuticals,19910402,REGN,75886F107,76614,15365000,0,1988,0
Regenex,19900816,RGNX,758927107,76429,3200000,0,1989,0
